
---------- Begin Simulation Statistics ----------
simSeconds                                   0.087291                       # Number of seconds simulated (Second)
simTicks                                  87290851000                       # Number of ticks simulated (Tick)
finalTick                                 87290851000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1924.45                       # Real time elapsed on the host (Second)
hostTickRate                                 45358892                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     642280                       # Number of bytes of host memory used (Byte)
simInsts                                    206138907                       # Number of instructions simulated (Count)
simOps                                      206139015                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107116                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     107116                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        174581703                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       409399950                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      571                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      285745398                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 448436                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            203261505                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         177468031                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  28                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           174550830                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.637033                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.697513                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  62820634     35.99%     35.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  34041488     19.50%     55.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27759207     15.90%     71.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  21287655     12.20%     83.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  16506621      9.46%     93.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8556584      4.90%     97.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1885363      1.08%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1345275      0.77%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    348003      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             174550830                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13550      0.19%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      5      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       2      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.19% # attempts to use FU when none available (Count)
